pollen,station,datetime,week
8,Melbourne,23/10/2013,43
5,Melbourne,24/10/2013,43
6,Melbourne,25/10/2013,43
10,Melbourne,26/10/2013,43
0,dummy,27/10/2013,44
34,Melbourne,27/10/2013,44
0,dummy,27/10/2013,44
7,Melbourne,28/10/2013,44
5,Melbourne,29/10/2013,44
3,Melbourne,30/10/2013,44
10,Melbourne,31/10/2013,44
0,dummy,31/10/2013,44
7,Melbourne,01/11/2013,44
65,Melbourne,02/11/2013,44
17,Melbourne,03/11/2013,45
0,MelbourneCup,04/11/2013,45
7,Melbourne,04/11/2013,45
31,Melbourne,05/11/2013,45
0,dummy,05/11/2013,45
0,dummy,06/11/2013,45
0,dummy,06/11/2013,45
61,Melbourne,06/11/2013,45
85,Melbourne,07/11/2013,45
9,Melbourne,08/11/2013,45
0,dummy,09/11/2013,45
0,dummy,09/11/2013,45
2,Melbourne,09/11/2013,45
4,Melbourne,10/11/2013,46
37,Melbourne,11/11/2013,46
7,Melbourne,12/11/2013,46
3,Melbourne,13/11/2013,46
2,Melbourne,14/11/2013,46
10,Melbourne,15/11/2013,46
0,dummy,15/11/2013,46
9,Melbourne,16/11/2013,46
19,Melbourne,17/11/2013,47
51,Melbourne,18/11/2013,47
0,dummy,19/11/2013,47
0,dummy,19/11/2013,47
95,Melbourne,19/11/2013,47
20,Melbourne,20/11/2013,47
24,Melbourne,21/11/2013,47
44,Melbourne,22/11/2013,47
22,Melbourne,23/11/2013,47
10,Melbourne,24/11/2013,48
12,Melbourne,25/11/2013,48
75,Melbourne,26/11/2013,48
58,Melbourne,27/11/2013,48
75,Melbourne,27/11/2013,48
104,Melbourne,28/11/2013,48
2,Melbourne,29/11/2013,48
0,dummy,29/11/2013,48
2,Melbourne,30/11/2013,48
88,Melbourne,01/12/2013,49
92,Melbourne,02/12/2013,49
0,dummy,03/12/2013,49
51,Melbourne,03/12/2013,49
0,dummy,04/12/2013,49
26,Melbourne,04/12/2013,49
7,Melbourne,05/12/2013,49
2,Melbourne,06/12/2013,49
49,Melbourne,07/12/2013,49
83,Melbourne,08/12/2013,50
30,Melbourne,09/12/2013,50
2,Melbourne,10/12/2013,50
8,Melbourne,11/12/2013,50
0,dummy,12/12/2013,50
12,Melbourne,12/12/2013,50
0,HayFever,12/12/2013,50
10,Melbourne,13/12/2013,50
0,Melbourne,14/12/2013,50
2,Melbourne,15/12/2013,51
0,dummy,15/12/2013,51
3,Melbourne,16/12/2013,51
2,Melbourne,17/12/2013,51
2,Melbourne,18/12/2013,51
2,Melbourne,19/12/2013,51
4,Melbourne,20/12/2013,51
4,Melbourne,21/12/2013,51
4,Melbourne,22/12/2013,52
39,Melbourne,23/12/2013,52
0,dummy,23/12/2013,52
2,Melbourne,24/12/2013,52
68,Melbourne,25/12/2013,52
0,dummy,25/12/2013,52
10,Melbourne,26/12/2013,52
5,Melbourne,27/12/2013,52
9,Melbourne,28/12/2013,52
0,Melbourne,29/12/2013,53
0,Melbourne,30/12/2013,53
3,Melbourne,31/12/2013,53
0,dummy,01/01/2014,1
0,dummy,02/01/2014,1
0,dummy,02/09/2014,36
0,dummy,12/09/2014,37
0,dummy,16/09/2014,38
0,dummy,22/09/2014,39
0,dummy,22/09/2014,39
0,dummy,23/09/2014,39
0,dummy,24/09/2014,39
0,dummy,25/09/2014,39
0,dummy,27/09/2014,39
0,dummy,27/09/2014,39
0,dummy,30/09/2014,40
0,Melbourne,30/09/2014,40
0,dummy,30/09/2014,40
0,Melbourne,01/10/2014,40
0,Melbourne,01/10/2014,40
0,dummy,01/10/2014,40
0,Melbourne,02/10/2014,40
0,dummy,02/10/2014,40
0,Melbourne,03/10/2014,40
0,Melbourne,04/10/2014,40
3,Melbourne,05/10/2014,41
3,Melbourne,06/10/2014,41
3,Melbourne,07/10/2014,41
0,Melbourne,08/10/2014,41
0,dummy,08/10/2014,41
0,dummy,08/10/2014,41
5,Melbourne,09/10/2014,41
0,dummy,09/10/2014,41
36,Melbourne,10/10/2014,41
10,Melbourne,11/10/2014,41
9,Melbourne,12/10/2014,42
0,dummy,12/10/2014,42
0,dummy,13/10/2014,42
3,Melbourne,13/10/2014,42
1,Melbourne,14/10/2014,42
0,Melbourne,15/10/2014,42
0,ANU,16/10/2014,42
0,dummy,16/10/2014,42
0,Melbourne,16/10/2014,42
5,Melbourne,17/10/2014,42
0,dummy,17/10/2014,42
9,Melbourne,18/10/2014,42
53,Melbourne,19/10/2014,43
14,Melbourne,20/10/2014,43
20,Melbourne,21/10/2014,43
54,Melbourne,22/10/2014,43
12,Melbourne,23/10/2014,43
13,Melbourne,24/10/2014,43
15,Melbourne,25/10/2014,43
0,dummy,25/10/2014,43
0,dummy,25/10/2014,43
3,Melbourne,26/10/2014,44
17,Melbourne,27/10/2014,44
2,Melbourne,28/10/2014,44
12,Melbourne,29/10/2014,44
22,Melbourne,30/10/2014,44
0,dummy,31/10/2014,44
41,Melbourne,31/10/2014,44
0,Melbourne,31/10/2014,44
5,Melbourne,01/11/2014,44
2,Melbourne,02/11/2014,45
2,Melbourne,03/11/2014,45
0,Melbourne,03/11/2014,45
43,Melbourne,04/11/2014,45
9,Melbourne,05/11/2014,45
2,Melbourne,06/11/2014,45
39,Melbourne,07/11/2014,45
0,dummy,07/11/2014,45
39,Melbourne,08/11/2014,45
2,Melbourne,09/11/2014,46
2,Melbourne,10/11/2014,46
0,Melbourne,11/11/2014,46
0,RemembranceDay,11/11/2014,46
0,dummy,11/11/2014,46
3,Melbourne,12/11/2014,46
20,Melbourne,13/11/2014,46
29,Melbourne,14/11/2014,46
5,Melbourne,15/11/2014,46
14,Melbourne,16/11/2014,47
8,Melbourne,17/11/2014,47
11,Melbourne,18/11/2014,47
0,dummy,18/11/2014,47
16,Melbourne,19/11/2014,47
31,Melbourne,20/11/2014,47
5,Melbourne,21/11/2014,47
0,dummy,21/11/2014,47
0,dummy,21/11/2014,47
0,dummy,21/11/2014,47
22,Melbourne,22/11/2014,47
15,Melbourne,23/11/2014,48
31,Melbourne,24/11/2014,48
2,Melbourne,25/11/2014,48
9,Melbourne,26/11/2014,48
3,Melbourne,27/11/2014,48
9,Melbourne,28/11/2014,48
7,Melbourne,29/11/2014,48
25,Melbourne,30/11/2014,49
20,Melbourne,01/12/2014,49
10,Melbourne,02/12/2014,49
14,Melbourne,03/12/2014,49
0,dummy,04/12/2014,49
9,Melbourne,04/12/2014,49
17,Melbourne,05/12/2014,49
14,Melbourne,06/12/2014,49
9,Melbourne,07/12/2014,50
3,Melbourne,08/12/2014,50
5,Melbourne,09/12/2014,50
0,dummy,09/12/2014,50
47,Melbourne,10/12/2014,50
7,Melbourne,11/12/2014,50
12,Melbourne,12/12/2014,50
36,Melbourne,13/12/2014,50
12,Melbourne,14/12/2014,51
5,Melbourne,15/12/2014,51
36,Melbourne,16/12/2014,51
2,Melbourne,17/12/2014,51
0,dummy,18/12/2014,51
3,Melbourne,18/12/2014,51
2,Melbourne,19/12/2014,51
